carrier_name,carrier_slug,state,event_type,event_date,source_url,source_name
California Insurance Company,california-insurance-company,CA,receivership,2019-11-04,https://www.caclo.org/perl/index.pl?document_id=e40fbf035619f795e6035642e2a52af0,California Conservation & Liquidation Office
CastlePoint National Ins. Co.,castlepoint-national-ins-co,CA,receivership,2016-07-28,https://www.caclo.org/perl/index.pl?document_id=b14d33b0a2f54e975c631203f87f6ca0,California Conservation & Liquidation Office
Crusader Insurance Company,crusader-insurance-company,CA,receivership,2023-06-07,https://www.caclo.org/perl/index.pl?document_id=66398c2bd35aff5362bd8e1338cc1233,California Conservation & Liquidation Office
First American Title Co. of Napa,first-american-title-co-of-napa,CA,receivership,2025-12-22,https://www.caclo.org/perl/index.pl?document_id=d6fe7f53728e7364e0d3dfe241c34671,California Conservation & Liquidation Office
Fremont Indemnity Company,fremont-indemnity-company,CA,receivership,2003-06-04,https://www.caclo.org/perl/index.pl?document_id=b442802cf6079bc3bcd3af71b98be646,California Conservation & Liquidation Office
Golden Eagle Insurance Company,golden-eagle-insurance-company,CA,receivership,1997-01-31,https://www.caclo.org/perl/index.pl?document_id=b50e300350ba05110b69f7ba970802b7,California Conservation & Liquidation Office
Mission Insurance Company,mission-insurance-company,CA,receivership,1985-10-31,https://www.caclo.org/perl/index.pl?document_id=9740bb01260ef0d4158fbd862c62a496,California Conservation & Liquidation Office
Real Advantage Title Ins. Co.,real-advantage-title-ins-co,CA,receivership,2025-09-09,https://www.caclo.org/perl/index.pl?document_id=c03976a2f30594203353d474e6d5061f,California Conservation & Liquidation Office
Western General Insurance Company,western-general-insurance-company,CA,receivership,2021-05-26,https://www.caclo.org/perl/index.pl?document_id=d3559dfc29c69d58b6a63007bb2b3686,California Conservation & Liquidation Office
AMERICAN CAPITAL ASSURANCE CORP,american-capital-assurance-corp,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/555,Florida DFS — Division of Rehabilitation & Liquidation
AVATAR PROPERTY AND CASUALTY INSURANCE COMPANY,avatar-property-and-casualty-insurance-company,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/558,Florida DFS — Division of Rehabilitation & Liquidation
FEDNAT INSURANCE COMPANY,fednat-insurance-company,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/562,Florida DFS — Division of Rehabilitation & Liquidation
FLORIDA SPECIALTY INSURANCE COMPANY,florida-specialty-insurance-company,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/553,Florida DFS — Division of Rehabilitation & Liquidation
GUARANTEE INSURANCE COMPANY,guarantee-insurance-company,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/550,Florida DFS — Division of Rehabilitation & Liquidation
GULFSTREAM PROPERTY AND CASUALTY INSURANCE COMPANY,gulfstream-property-and-casualty-insurance-company,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/556,Florida DFS — Division of Rehabilitation & Liquidation
"PHYSICIANS UNITED PLAN, INC.",physicians-united-plan-inc,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/545,Florida DFS — Division of Rehabilitation & Liquidation
SOUTHERN FIDELITY INSURANCE COMPANY,southern-fidelity-insurance-company,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/559,Florida DFS — Division of Rehabilitation & Liquidation
"ST. JOHNS INSURANCE COMPANY, INC.",st-johns-insurance-company-inc,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/557,Florida DFS — Division of Rehabilitation & Liquidation
UNITED PROPERTY & CASUALTY INSURANCE COMPANY,united-property-casualty-insurance-company,FL,receivership,,https://www.myfloridacfo.com/division/receiver/companies/detail/563,Florida DFS — Division of Rehabilitation & Liquidation
